Casa,Brand,Family,Item Code,Smart,Inches,Resolution,Tot Qty,Unit Price,Revenue,Refresh Rate,Sound Quality,Connectivity Options,Energy Efficiency,Pixel Density (PPI),Response Time (ms),Month
Bekaa,TCL,LED,PLED32,Yes,43,HD,48,100,4800,120,Enhanced,2,E,36.7151195,4,April
Mount Lebanon,Sony,LED,PLED32,Yes,45,HD,92,100,9200,120,Enhanced,3,B,68.84084907,4,April
North,LG,LED,PLED40,Yes,65,HD,90,100,9000,120,Enhanced,2,D,137.6816981,4,April
South,Panasonic,LED,LED50S,Yes,50,FHD,78,100,7800,60,Premium,3,C,137.6816981,10,April
South,Panasonic,LED,PLED25,Yes,75,FHD,69,100,6900,60,Enhanced,4,E,68.84084907,10,April
Beirut,LG,LED,LED50S,Yes,50,FHD,86,100,8600,120,Enhanced,2,A,48.95349267,4,April
Beirut,Sony,LED,PLED41,Yes,65,FHD,27,100,2700,120,Enhanced,2,B,107.4588863,4,April
Mount Lebanon,LG,LED,LED55U,Yes,55,FHD,87,100,8700,120,Premium,2,B,37.9811581,4,April
South,Samsung,LED,PLED45S,Yes,55,FHD,62,100,6200,60,Enhanced,4,C,51.2303993,10,April
South,TCL,LED,PLED32,Yes,50,UHD,93,100,9300,120,Premium,3,D,102.4607986,4,April
South,Sony,LED,LED58U,Yes,45,UHD,81,100,8100,60,Enhanced,3,A,29.3720956,10,April
Mount Lebanon,LG,LED,PLED29,Yes,55,HD,105,100,10500,120,Basic,3,E,58.7441912,4,April
North,Sony,LED,PLED40S,Yes,45,FHD,90,100,9000,60,Premium,3,E,55.07267925,10,April
North,TCL,LED,T50,Yes,75,FHD,86,100,8600,60,Basic,3,B,110.1453585,10,April
North,TCL,LED,PLED50S,Yes,75,UHD,71,100,7100,120,Premium,3,B,19.58139707,4,April
Mount Lebanon,Sony,LED,PLED40,Yes,52,HD,60,100,6000,60,Enhanced,3,E,26.70190509,10,April
North,LG,LED,LED52,Yes,52,HD,102,100,10200,120,Premium,3,C,151.9246324,4,April
Beirut,Samsung,LED,PLED32S,Yes,45,UHD,108,100,10800,60,Enhanced,3,D,110.1453585,10,April
Beirut,Samsung,LED,PLED40,Yes,65,FHD,104,100,10400,60,Premium,3,E,28.24239962,10,April
Beirut,LG,LED,PLED25,Yes,52,FHD,72,100,7200,60,Premium,3,B,36.7151195,10,April
Beirut,LG,LED,LED65U,Yes,75,UHD,122,100,12200,120,Enhanced,3,A,29.3720956,4,April
North,Sony,LED,T32,Yes,55,FHD,114,100,11400,120,Enhanced,3,D,33.89087954,4,April
Beirut,Sony,LED,LED50S,Yes,65,FHD,102,100,10200,120,Enhanced,3,A,51.2303993,4,April
Mount Lebanon,LG,LED,LED55,Yes,65,HD,111,100,11100,120,Enhanced,3,C,42.36359942,4,April
North,TCL,LED,T43,Yes,65,HD,64,100,6400,120,Enhanced,3,B,58.7441912,4,April
North,LG,LED,T40,Yes,50,HD,104,100,10400,60,Basic,3,E,107.4588863,10,April
Bekaa,Samsung,LED,LED 55U,Yes,45,HD,64,100,6400,120,Basic,3,C,44.0581434,4,April
North,LG,LED,PLED50S,Yes,65,UHD,85,100,8500,120,Premium,3,B,53.72944317,4,April
Bekaa,Sony,LED,PLE45S,Yes,75,HD,83,100,8300,60,Basic,3,A,19.58139707,10,April
South,Panasonic,LED,PLED43,Yes,52,UHD,74,100,7400,120,Premium,3,B,48.95349267,4,April
South,LG,LED,LED65U,Yes,45,FHD,100,100,10000,120,Basic,3,D,75.96231621,4,April
North,Sony,LED,PLED29,Yes,50,HD,64,100,6400,60,Enhanced,4,C,36.7151195,10,April
North,Panasonic,LED,PLED25,Yes,43,HD,99,105,10395,60,Basic,3,B,51.2303993,10,April
Mount Lebanon,Samsung,LED,PLED43S,Yes,43,UHD,97,141,13677,60,Enhanced,3,B,22.59391969,10,April
North,TCL,LED,LED 55U,Yes,40,UHD,68,173,11764,120,Basic,3,A,97.90698534,4,April
North,Panasonic,LED,PLED41S,Yes,65,UHD,120,209,25080,120,Enhanced,3,D,40.05285764,4,April
Bekaa,Sony,LED,PLED45S,Yes,55,HD,103,219,22557,120,Enhanced,3,E,26.70190509,4,April
North,Samsung,LED,T58,Yes,75,HD,101,220,22220,120,Basic,4,E,88.1162868,4,April
Mount Lebanon,TCL,LED,T43,Yes,50,UHD,107,229,24503,120,Premium,3,C,48.95349267,4,April
North,Sony,LED,T43,Yes,45,FHD,104,236,24544,60,Premium,3,A,84.72719885,10,April
Beirut,Samsung,LED,PLED50,Yes,40,FHD,88,245,21560,120,Premium,4,A,33.89087954,4,April
South,Samsung,LED,LED55U,Yes,40,HD,91,264,24024,120,Basic,2,D,80.10571528,4,April
South,LG,LED,PLED32,Yes,40,HD,91,266,24206,60,Basic,2,D,45.89389938,10,April
South,Samsung,LED,PLED40S,Yes,40,HD,90,268,24120,60,Basic,2,D,36.7151195,10,April
Beirut,Panasonic,LED,LED50U,Yes,58,FHD,92,268,24656,60,Basic,4,E,137.6816981,10,April
South,Samsung,LED,PLED50,Yes,40,HD,90,269,24210,60,Basic,2,D,29.3720956,10,April
Bekaa,Panasonic,LED,PLED25,Yes,65,UHD,72,269,19368,120,Basic,2,D,34.15359954,4,April
South,LG,LED,LED65U,Yes,40,HD,90,270,24300,120,Basic,2,D,67.78175908,4,April
South,Samsung,LED,PLED43S,Yes,40,HD,90,271,24390,60,Basic,2,D,51.2303993,10,April
Bekaa,Panasonic,LED,PLED41S,Yes,58,HD,108,273,29484,120,Premium,3,C,88.1162868,4,April
South,LG,LED,LED55U,Yes,40,HD,91,274,24934,120,Basic,2,D,80.10571528,4,April
Beirut,LG,LED,LED52,Yes,40,FHD,102,276,28152,120,Basic,2,D,42.36359942,4,April
South,Samsung,LED,PLED32S,Yes,40,FHD,90,278,25020,60,Basic,2,D,45.89389938,10,April
South,LG,LED,PLED32S,Yes,40,FHD,90,278,25020,60,Basic,2,D,45.89389938,10,April
Beirut,LG,LED,PLED25,Yes,40,FHD,101,279,28179,60,Basic,2,D,58.7441912,10,April
South,Samsung,LED,PLED50,Yes,40,FHD,90,283,25470,60,Basic,2,D,29.3720956,10,April
South,Samsung,LED,PLED50,Yes,40,FHD,90,283,25470,60,Basic,2,D,29.3720956,10,April
Beirut,LG,LED,PLED32,Yes,40,FHD,98,283,27734,60,Basic,2,D,45.89389938,10,April
Beirut,Samsung,LED,PLED32,Yes,40,FHD,98,284,27832,60,Basic,2,D,45.89389938,10,April
Beirut,Samsung,LED,LED50S,Yes,40,FHD,101,286,28886,60,Premium,2,D,34.15359954,10,April
South,LG,LED,LED65U,Yes,40,UHD,91,288,26208,120,Basic,2,D,67.78175908,4,April
Beirut,LG,LED,PLED32,Yes,40,UHD,102,289,29478,60,Basic,2,D,45.89389938,10,April
South,LG,LED,LED50S,Yes,40,UHD,90,295,26550,60,Basic,2,D,29.3720956,10,April
